draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
2786,2,921270,679414,0.001867212,0.9713,0.3178,125416,728572, 6748, 9001,12885,1578,3616,33454, 79510,553658,4564, 6558,10340,1128,2544,21112,197474, 96915,222825, 96653,177116,117587,189670,103594,181045,114119,270794,147845,263863,146600,210149, 96784,182611,111768,267329,147223,1,2,117616,214684,0.3539,0.3544,0,0,0,0.1884
2787,1,917319,677662,0.002429441,0.9761,0.4335,130739,715145, 8355, 9826,14328,1742,3605,33579, 83451,544802,5699, 7205,11421,1240,2560,21284,191596, 92817,216129, 93080,167699,113410,180157, 99848,172253,109605,259620,140020,251249,140267,203862, 92948,173371,107622,255436,140144,1,2,112721,205529,0.3542,0.3550,0,0,0,0.1884
2787,2,921787,698738,0.002429441,0.9761,0.2316,108668,735378, 6430, 9077,11708,1659,4638,44229, 68249,576664,4247, 6730, 9587,1202,3367,28692,217458, 96949,232887, 95168,193961,117672,204632,103435,198400,112431,294498,147000,287196,145596,225173, 96060,198999,111179,290846,146298,1,2,116893,232718,0.3344,0.3347,0,0,0,0.1884
2788,1,919044,711545,0.000553530,0.9888,0.2527, 66868,765266, 9059, 9066,17155,1616,4793,45221, 44039,607001,5840, 6772,13691,1198,3579,29425,208655,121472,227111,117884,191597,146883,203948,129481,195340,141074,285220,184984,280685,182033,217884,119679,196963,139146,282952,183509,1,1,146259,227507,0.3913,0.3912,0,0,0,0.1884
2788,2,920062,664855,0.000553530,0.9888,0.3114,172539,685257, 5726, 9837, 8881,1785,3450,32587,107661,514465,4106, 7163, 7317,1244,2348,20551,200399, 68294,221905, 70364,170063, 84199,180842, 73801,175314, 80962,268898,102036,257760,103830,211152, 69329,175407, 79654,263330,102934,1,1, 83355,210740,0.2834,0.2849,0,0,0,0.1884
2789,1,919834,692900,0.000305583,0.9757,0.1623,110490,732997, 6026, 9396,10752,1572,4606,43995, 69191,571013,4032, 6922, 8869,1118,3334,28421,218320, 91908,232580, 90115,193824,110518,203858, 97280,198064,105714,297585,138195,289794,137107,225451, 91012,198584,104503,293689,137651,1,3,110120,233431,0.3205,0.3211,0,0,0,0.1884
2789,2,919272,683500,0.000305583,0.9757,0.3194,128917,717526, 8759, 9507,15284,1829,3637,33813, 82509,550453,5914, 7013,12139,1324,2593,21555,190734, 97858,216436, 98133,167836,120564,180931,106003,172589,116322,256533,148825,248651,148756,203585, 97995,173786,114297,252593,148791,1,3,119495,204816,0.3685,0.3689,0,0,0,0.1884
2790,1,918611,710655,0.001024411,0.9813,0.2395, 67418,765935, 8310, 8957,16487,1518,4820,45166, 43941,607349,5342, 6638,13166,1118,3579,29522,212272,120812,230357,117255,194782,145998,207053,128850,198578,140308,289851,183587,285128,180702,221315,119034,200139,138386,287490,182145,1,0,145359,231144,0.3861,0.3860,0,0,0,0.1884
2790,2,920495,665745,0.001024411,0.9813,0.3780,171989,684588, 6475, 9946, 9549,1883,3423,32642,107759,514117,4604, 7297, 7842,1324,2348,20454,196783, 68953,218659, 70993,166878, 85084,177736, 74432,172076, 81728,264267,103433,253317,105161,207721, 69973,172231, 80415,258792,104297,1,0, 84255,207103,0.2892,0.2906,0,0,0,0.1884
2791,1,915268,678099,0.004659873,0.9749,0.3425,131120,712376, 8818, 9630,14130,1806,3607,33781, 83776,544516,6003, 7077,11301,1293,2581,21552,189331, 93903,213416, 94616,165343,114962,177778,101489,169888,111235,256012,141338,247281,141877,201373, 94259,171004,109229,251647,141609,1,2,114203,202722,0.3603,0.3612,0,0,0,0.1884
