"","draw","district","total_pop","arv_20","adv_20","arv_16","adv_16","nrv","ndv","prop_dem_2020","prop_dem_2016","prop_dem_all","dist_2020_order","dist_2016_order","dist_all_order","dem_win_all"
"12635","2894",3,704592,130274,224672,114979,166666,121641,189054,0.632975156784412,0.591759129400486,0.608487423357312,5,5,5,1
"12636","2894",2,706465,67731,309622,63131,242785,65555,270167,0.820510238423969,0.793632892689496,0.804734274191146,6,6,6,1
"12637","2895",1,706175,201405,169288,160002,132554,177179,145879,0.456679786238208,0.453089323069771,0.451556686415442,1,1,1,0
"12638","2895",6,705048,203610,177021,164832,142389,180448,154725,0.465072471763992,0.463474176569961,0.46162727904694,2,2,2,0
"12639","2895",5,706484,171006,174233,140501,134663,152689,149650,0.50467357395891,0.489391780901571,0.494974184607345,3,3,3,0
"12640","2895",2,708094,130909,220825,117080,163317,123066,185570,0.627818180784343,0.582449170283562,0.601258440363405,4,4,4,1
"12641","2895",4,707353,141447,259162,122986,199483,131383,222770,0.646920064202252,0.618611401406027,0.629021919904674,5,5,5,1
"12642","2895",3,704102,99022,267566,82224,211146,89452,233818,0.729882047421083,0.719725943347991,0.723290128994339,6,6,6,1
"12643","2896",3,704867,210796,156053,167203,120589,185281,133402,0.425387557278335,0.419014427086229,0.418604067364748,1,1,1,0
"12644","2896",4,705944,172522,169018,142179,130245,154297,144887,0.494870293377057,0.478096643467536,0.48427389165196,3,2,2,0
"12645","2896",1,706336,194204,190228,157617,154333,172331,167178,0.494828734340534,0.494736335951274,0.49241109955848,2,3,3,0
"12646","2896",2,706389,163246,205181,135106,156958,147182,175075,0.55691086701029,0.537409608852854,0.543277570386369,4,4,4,1
"12647","2896",5,704910,147383,213061,125001,158541,134451,179464,0.591107079046953,0.559144676979072,0.571696159788478,5,5,5,1
"12648","2896",6,708810,59249,334554,60519,262886,60674,292408,0.849546600711523,0.812869312471978,0.828158897933058,6,6,6,1
"12649","2897",1,709068,213434,152404,169120,117477,187487,130022,0.416588763332404,0.409903104359083,0.409506502177891,1,1,1,0
"12650","2897",6,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,2,2,0
"12651","2897",4,704025,192438,194166,156356,157727,170876,170835,0.502234844957631,0.502182544104584,0.499940007784356,2,3,3,0
"12652","2897",2,708346,161710,203243,133723,155453,145722,173404,0.556901847635175,0.537572274324287,0.543371583637811,4,4,4,1
"12653","2897",5,705564,143228,211016,122016,157250,131009,177888,0.595679813913574,0.563083225312068,0.575881280815288,5,5,5,1
"12654","2897",3,702711,65317,332870,65701,260856,66209,290476,0.835964006861098,0.798806946413643,0.814376831097467,6,6,6,1
"12655","2898",3,707289,222915,159664,177368,129903,195685,140074,0.417336027330303,0.422763619085433,0.4171861364848,1,1,1,0
"12656","2898",2,703788,171966,168915,141826,130128,153865,144783,0.495524831246095,0.478492686263118,0.484794808604109,2,2,2,0
"12657","2898",4,705804,182957,186906,148108,145301,162677,160784,0.505338463160684,0.49521657481536,0.497073835794733,3,3,3,0
"12658","2898",5,706316,157851,217490,132887,165713,143694,185488,0.579446423385668,0.554966510381782,0.563481599844463,4,4,4,1
"12659","2898",6,705276,132115,222257,114763,165461,122184,187438,0.627185556420936,0.590459775037113,0.605376878903954,5,5,5,1
"12660","2898",1,708783,79595,312863,72673,247045,76111,273846,0.797188488959328,0.77269656384689,0.782513280202996,6,6,6,1
