draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
4659,1,725198,575957,0.0033498915,0.9577,0.27132,69700,121601,14342, 817,300443,69046,2328,146921,46946,106191,11832, 713,259128,49658,1831, 99658,123818,65777,143843,47397,125324,58066,111714,67053,169476,100481,56584,133829,62553,118517,100481,169476,1,1,134835,67754,0.6656,0.6683,1,2,0,-0.1179
4659,2,730073,579948,0.0033498915,0.9577,0.06879,69223,192764, 7535,1504,231115,80008,2955,144969,46161,169433, 6227,1287,199140,55560,2393, 99747,143078,63069,162766,45250,150992,53965,133219,64673,196652, 96383,54149,152918,59311,142105, 96383,196652,1,1,157342,64670,0.7087,0.7115,1,2,0,-0.1179
4660,1,727699,564558,0.0000872690,0.9720,0.37788,74277,120637,16173, 813,290118,75244,2190,148247,49034,101175,12945, 707,246159,52881,1716, 99941,110196,62724,131232,43632,113389,55255,100046,64691,150532, 99113,53174,120713,59964,106716, 99113,150532,1,1,121079,65082,0.6504,0.6541,1,2,0,-0.1179
4660,2,727572,591347,0.0000872690,0.9720,0.07185,64646,193728, 5704,1508,241440,73810,3093,143643,44073,174449, 5114,1293,212109,52337,2508, 99464,156700,66122,175377,49015,162927,56777,144887,67036,215597, 97751,57559,166035,61901,153905, 97751,215597,1,1,171098,67342,0.7176,0.7196,1,2,0,-0.1179
4661,1,727245,563708,0.0005366698,0.9641,0.36225,74654,120960,16240, 831,286305,77144,2195,148916,49272,101426,13000, 725,242978,54187,1721,100399,108077,61960,128783,43133,111323,54571, 97986,64041,147915, 98343,52542,118428,59297,104652, 98343,147915,1,1,118817,64409,0.6485,0.6522,1,2,0,-0.1179
4661,2,728026,592197,0.0005366698,0.9641,0.07133,64269,193405, 5637,1490,245253,71910,3088,142974,43835,174198, 5059,1275,215290,51031,2503, 99006,158819,66886,177826,49514,164993,57460,146948,67686,218213, 98521,58190,168319,62567,155970, 98521,218213,1,1,173360,68015,0.7182,0.7202,1,2,0,-0.1179
4662,1,727363,564659,0.0003745007,0.9593,0.35668,73683,115951,16259, 824,293030,77163,2100,148353,48708, 97607,13016, 715,249043,54212,1626, 99732,112187,64264,133195,45108,115192,56451,101944,65755,153893,100440,54679,122689,61095,108566,100440,153893,1,1,123282,66402,0.6499,0.6534,1,2,0,-0.1179
4662,2,727908,591246,0.0003745007,0.9593,0.07107,65240,198414, 5618,1497,238528,71891,3183,143537,44399,178017, 5043,1285,209225,51006,2598, 99673,154709,64583,173414,47539,161124,55581,142990,65972,212235, 96424,56053,164058,60769,152056, 96424,212235,1,1,168895,66022,0.7190,0.7211,1,2,0,-0.1179
4663,1,726154,563591,0.0020360469,0.9712,0.37658,74200,120634,16173, 813,289787,74279,2188,148080,48993,101173,12945, 707,245893,52321,1716, 99843,110150,62704,131182,43620,113349,55239,100012,64672,150477, 99071,53158,120665,59946,106680, 99071,150477,1,1,121035,65060,0.6504,0.6541,1,2,0,-0.1179
4663,2,729117,592314,0.0020360469,0.9712,0.07182,64723,193731, 5704,1508,241771,74775,3095,143810,44114,174451, 5114,1293,212375,52897,2508, 99562,156746,66143,175427,49027,162967,56792,144921,67055,215651, 97793,57575,166083,61918,153942, 97793,215651,1,1,171143,67364,0.7176,0.7196,1,2,0,-0.1179
