draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
1468,1,546276,434094,0.0043986626,0.9654,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
1468,2,551103,453500,0.0043986626,0.9654,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
1469,1,547782,434610,0.0016539409,0.9584,0.4082,145153,294659,43635,1672,22833,168,8762,30900,100918,252984,32618,1284,19204,131,6518,20953,119588, 63778,103809,48594, 90051,47398,116035,108708,39994,136294, 73128,142531, 58074, 63778,119588,45329,104650, 65602,139413,1,2,116716, 55161,0.6791,0.6801,1.0000,2.000,0,-0.25606
1469,2,549597,452984,0.0016539409,0.9584,0.3703, 36948,459391,11751,1841,15534,152,2630,21350, 25070,389451, 9306,1415,12208,124,1935,13475,132937,116764,127668,95826,108071,92535,158316,138568,79298,171192,126794,186043,106781,116764,132937,89219,133156,116788,178616,1,2,146114,103000,0.5865,0.5814,1.0000,2.000,0,-0.25606
1470,1,546940,449837,0.0031885064,0.9481,0.2543, 34281,457911,13170,1845,11726,164,3701,24142, 23222,387302,10116,1408, 9375,133,2783,15498,132707,111104,126966,90948,109567,84153,154492,137486,74953,171384,121416,184004,103307,111104,132707,83350,132128,112362,177693,2,3,145230, 97647,0.5980,0.5942,1.0000,2.000,0,-0.25606
1470,2,550439,437757,0.0031885064,0.9481,0.4354,147820,296139,42216,1668,26641,156,7691,28108,102766,255133,31808,1291,22037,122,5670,18930,119818, 69437,104511,53473, 88555,55780,119859,109790,44340,136102, 78506,144570, 61548, 69437,119818,51198,105678, 70028,140336,2,3,117601, 60514,0.6603,0.6593,1.0000,2.000,0,-0.25606
1471,1,549575,452199,0.0016138454,0.9498,0.2943, 48974,434379,18470,2047,15181,173,4673,25678, 33974,369678,14536,1602,12062,144,3537,16666,137501,100354,130005,82487,112247,77767,154728,139287,67749,174879,109072,186395, 91916,100354,137501,76000,134067,100494,180636,2,3,147863, 88224,0.6263,0.6232,1.0000,2.000,0,-0.25606
1471,2,547804,435395,0.0016138454,0.9498,0.5578,133127,319671,36916,1466,23186,147,6719,26572, 92014,272757,27388,1097,19350,111,4916,17762,115024, 80188,101472,61933, 85875,62166,119623,107989,51544,132607, 90850,142178, 72939, 80188,115024,58548,103739, 81896,137393,2,3,114967, 69937,0.6218,0.6203,1.0000,2.000,0,-0.25606
1472,1,548983,437630,0.0005349109,0.9247,0.1808,149005,292013,43888,1720,23572,158,8555,30072,104295,252640,33072,1341,19373,130,6301,20478,123988, 66147,108229,50955, 91364,53575,122119,113310,41998,141627, 74520,149506, 58397, 66147,123988,48843,108755, 66460,145567,2,2,121449, 57599,0.6783,0.6777,1.0000,2.000,0,-0.25606
1472,2,548396,449964,0.0005349109,0.9247,0.2278, 33096,462037,11498,1793,14795,162,2837,22178, 21693,389795, 8852,1358,12039,125,2152,13950,128537,114395,123249,93465,106758,86358,152231,133966,77295,165859,125402,179067,106458,114395,128537,85706,129051,115930,172463,2,2,141381,100562,0.5844,0.5802,1.0000,2.000,0,-0.25606
1473,1,547782,434610,0.0016539409,0.9584,0.4082,145153,294659,43635,1672,22833,168,8762,30900,100918,252984,32618,1284,19204,131,6518,20953,119588, 63778,103809,48594, 90051,47398,116035,108708,39994,136294, 73128,142531, 58074, 63778,119588,45329,104650, 65602,139413,1,2,116716, 55161,0.6791,0.6801,1.0000,2.000,0,-0.25606
1473,2,549597,452984,0.0016539409,0.9584,0.3703, 36948,459391,11751,1841,15534,152,2630,21350, 25070,389451, 9306,1415,12208,124,1935,13475,132937,116764,127668,95826,108071,92535,158316,138568,79298,171192,126794,186043,106781,116764,132937,89219,133156,116788,178616,1,2,146114,103000,0.5865,0.5814,1.0000,2.000,0,-0.25606
1474,1,550545,437328,0.0033816940,0.9567,0.3641,146373,296032,43533,1660,23516,165,8714,30552,101623,255035,32423,1262,19694,125,6465,20701,118753, 67208,102939,50759, 88834,50540,117078,108116,41800,135106, 76085,142736, 59292, 67208,118753,47700,104242, 67689,138922,1,3,116223, 57613,0.6686,0.6689,1.0000,2.000,0,-0.25606
1474,2,546834,450266,0.0033816940,0.9567,0.2940, 35728,458018,11853,1853,14851,155,2678,21698, 24365,387400, 9501,1437,11718,130,1988,13727,133773,113334,128538,93661,109288,89393,157272,139160,77493,172379,123837,185838,105563,113334,133773,86848,133564,114700,179108,1,3,146607,100547,0.5932,0.5886,1.0000,2.000,0,-0.25606
1475,1,551413,438235,0.0049636452,0.9619,0.4244,141528,304087,42658,1627,21942,168,8674,30729, 98190,261144,31755,1230,18512,128,6455,20821,118364, 68672,102905,51883, 89161,50361,116795,108315,42657,135222, 78248,142559, 61808, 68672,118364,48301,104294, 70029,138891,1,2,116189, 58938,0.6635,0.6642,1.0000,2.000,0,-0.25606
1475,2,545966,449359,0.0049636452,0.9619,0.3614, 40573,449963,12728,1886,16425,152,2718,21521, 27798,381291,10169,1469,12900,127,1998,13607,134161,111869,128572,92537,108961,89572,157555,138961,76636,172263,121674,186014,103047,111869,134161,86248,133512,112361,179138,1,2,146642, 99223,0.5964,0.5916,1.0000,2.000,0,-0.25606
1476,1,547064,441380,0.0029625134,0.9143,0.2194,118308,340179,33904,1716,25251,142,4719,22845, 82720,291592,25907,1375,20923,121,3482,15260,122774, 85669,111307,68357, 92106,70915,132461,118885,56563,144943, 95325,156646, 77312, 85669,122774,65279,113689, 86320,150794,3,3,125589, 75690,0.6240,0.6207,1.0000,2.000,0,-0.25606
1476,2,550315,446214,0.0029625134,0.9143,0.1219, 63793,413871,21482,1797,13116,178,6673,29405, 43268,350843,16017,1324,10489,134,4971,19168,129751, 94873,120170,76064,106016,69018,141890,128391,62730,162543,104597,171928, 87543, 94873,129751,69270,124117, 96070,167235,3,3,137241, 82471,0.6246,0.6231,1.0000,2.000,0,-0.25606
1477,1,550458,437262,0.0032231344,0.9610,0.4246,148836,291538,44626,1689,23901,168,8801,30899,103444,251466,33357,1298,20053,130,6542,20972,120480, 63599,104286,47821, 90596,46980,116781,109098,39295,136700, 72287,143555, 56376, 63599,120480,44699,105190, 64332,140128,1,2,117356, 54392,0.6833,0.6843,1.0000,2.000,0,-0.25606
1477,2,546921,450332,0.0032231344,0.9610,0.3169, 33265,462512,10760,1824,14466,152,2591,21351, 22544,390969, 8567,1401,11359,125,1911,13456,132045,116943,127191,96599,107526,92953,157569,138178,79998,170786,127635,185019,108479,116943,132045,89849,132616,118057,177902,1,2,145474,103768,0.5837,0.5785,1.0000,2.000,0,-0.25606
